product_id,product_name,category,price,cost,stock_quantity,reorder_level
449,Lumen Honey Jar,Grocery,29.08,19.27,782,20
450,Pro Trail Mix Pack #450,Grocery,5.01,2.7,1072,88
451,Nimbus Sketch Pad #451,Books,18.06,8.85,0,42
452,Summit Foam Roller #452,Sports,67.82,47.18,881,10
453,Everyday Nonstick Pan,Home & Kitchen,101.58,64.47,992,100
454,Heritage Hardcover Notebook,Books,35.66,23.64,1351,39
455,Lite HDMI Cable,Electronics,251.18,147.39,903,108
456,Nimbus Body Lotion,Beauty,53.37,30.37,1263,48
457,Classic Laptop Sleeve,Electronics,334.22,147.22,671,101
458,Lumen Face Serum #458,Beauty,21.76,10.99,747,82
459,Lite LED Desk Lamp,Home & Kitchen,108.93,53.2,829,23
460,Everyday Laptop Charger,Electronics,218.43,135.16,1343,106
461,Apex Building Blocks #461,Toys,11.84,5.65,1435,48
462,Everyday Dumbbell Set,Sports,70.49,38.48,993,82
463,Classic Yoga Mat,Sports,113.74,60.26,239,12
464,Trail Plush Animal,Toys,15.82,10.91,568,95
465,Northstar Trail Mix Pack #465,Grocery,16.15,10.66,996,84
466,Everyday LED Desk Lamp,Home & Kitchen,72.46,35.09,1309,58
467,Apex Mechanical Keyboard,Electronics,126.31,80.82,657,66
468,Lumen Storage Bin #468,Home & Kitchen,21.8,12.44,423,51
469,Pro Puzzle Set,Toys,82.52,33.14,1111,33
470,Apex Oven Mitt,Home & Kitchen,63.52,37.75,685,79
471,Studio Book Ends #471,Books,31.94,21.75,1160,99
472,Lumen Lip Balm,Beauty,54.05,37.31,2,83
473,Urban Ceramic Mug,Home & Kitchen,110.56,51.32,749,53
474,Deluxe Denim Jacket,Clothing,142.34,82.23,1098,105
475,Pro Stainless Mixing Bowl,Home & Kitchen,98.8,72.49,1209,104
476,Willow Yoga Mat #476,Sports,99.34,51.41,1083,48
477,Cedar Kitchen Scale #477,Home & Kitchen,110.33,75.36,586,59
478,Orbit Lip Balm,Beauty,67.66,31.01,610,79
479,Cedar Reading Light,Books,29.02,11.84,683,67
480,Nimbus USB Flash Drive,Electronics,150.89,86.13,0,46
481,Northstar Rain Jacket #481,Clothing,46.21,23.4,688,78
482,Northstar Laptop Sleeve,Electronics,351.84,261.61,98,108
483,Trail Foam Roller #483,Sports,172.06,90.87,1180,21
484,Compact Cookbook Stand,Books,23.5,12.17,937,100
485,Urban Shower Gel,Beauty,74.7,54.62,224,95
486,Nimbus Wireless Mouse,Electronics,378.96,254.3,953,108
487,Trail Storage Bin #487,Home & Kitchen,107.37,56.28,341,97
488,Lite Reading Light #488,Books,11.98,8.83,1167,60
489,Cascade Bluetooth Speaker,Electronics,169.33,88.33,1113,57
490,Orbit Board Game,Toys,81.53,43.13,874,77
491,Compact Lip Balm,Beauty,60.36,26.97,1388,66
492,Summit Foam Roller #492,Sports,98.88,67.44,1082,118
493,Deluxe Board Game,Toys,65.97,31.66,1190,80
494,Harbor Dumbbell Set #494,Sports,78.8,57.33,1249,32
495,Lumen Gym Bag,Sports,62.46,30.47,490,17
496,Trail Book Ends #496,Books,28.06,12.96,1122,98
497,Everyday Towel Set,Home & Kitchen,127.73,58.89,344,30
498,Everyday Stainless Mixing Bowl,Home & Kitchen,33.38,19.5,1183,23
499,Studio Monitor Light Bar #499,Electronics,375.59,239.49,1331,38
500,Lite Building Blocks #500,Toys,31.94,14.53,1445,39
